nr;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A
NR324;3,700000;NO;2,503844;-1,499755;3,700000;YES;2,504437;-1,499549;7,400000;NO;2,504399;-1,499528;7,400000;YES;2,504516;-1,499801;12,000000;NO;2,504683;-1,499855;12,000000;YES;2,504713;-1,499726;18,000000;NO;2,504359;-1,499929;18,000000;YES;2,504411;-1,500086
NR309;3,700000;NO;2,492340;-1,505208;3,700000;YES;2,492691;-1,504749;7,400000;NO;2,492224;-1,504930;7,400000;YES;2,492236;-1,504837;12,000000;NO;2,491706;-1,504838;12,000000;YES;2,491837;-1,505139;18,000000;NO;2,491296;-1,505041;18,000000;YES;2,490789;-1,505091
NR321;3,700000;NO;2,500062;-1,504097;3,700000;YES;2,500613;-1,503139;7,400000;NO;2,500226;-1,503200;7,400000;YES;2,500127;-1,503379;12,000000;NO;2,499734;-1,503675;12,000000;YES;2,499776;-1,503567;18,000000;NO;2,499595;-1,503973;18,000000;YES;2,499434;-1,503957
NR311;3,700000;NO;2,490518;-1,506270;3,700000;YES;2,491343;-1,505521;7,400000;NO;2,491416;-1,505855;7,400000;YES;2,491502;-1,505496;12,000000;NO;2,491455;-1,505188;12,000000;YES;2,491746;-1,505593;18,000000;NO;2,491552;-1,506148;18,000000;YES;2,491907;-1,505844
NR322;3,700000;NO;2,505636;-1,500915;3,700000;YES;2,506521;-1,500520;7,400000;NO;2,506636;-1,500237;7,400000;YES;2,506847;-1,500363;12,000000;NO;2,507178;-1,500699;12,000000;YES;2,506792;-1,500323;18,000000;NO;2,507365;-1,500565;18,000000;YES;2,507288;-1,500676
NR323;3,700000;NO;2,502208;-1,500541;3,700000;YES;2,502650;-1,499590;7,400000;NO;2,502678;-1,500151;7,400000;YES;2,502467;-1,499663;12,000000;NO;2,502514;-1,500129;12,000000;YES;2,502537;-1,500244;18,000000;NO;2,502316;-1,500149;18,000000;YES;2,502721;-1,500145
NR71;3,700000;NO;2,500256;-1,503930;3,700000;YES;2,501026;-1,503211;7,400000;NO;2,501425;-1,503320;7,400000;YES;2,501237;-1,503590;12,000000;NO;2,501555;-1,503596;12,000000;YES;2,501643;-1,503469;18,000000;NO;2,501574;-1,503992;18,000000;YES;2,501867;-1,503694
NR77;3,700000;NO;2,491884;-1,507179;3,700000;YES;2,492523;-1,506862;7,400000;NO;2,492484;-1,506801;7,400000;YES;2,492607;-1,506866;12,000000;NO;2,492420;-1,506934;12,000000;YES;2,492964;-1,506686;18,000000;NO;2,492709;-1,507221;18,000000;YES;2,492353;-1,507602
NR85;3,700000;NO;2,505308;-1,514999;3,700000;YES;2,505894;-1,514409;7,400000;NO;2,505905;-1,514289;7,400000;YES;2,505866;-1,514286;12,000000;NO;2,505803;-1,514512;12,000000;YES;2,505705;-1,514671;18,000000;NO;2,506004;-1,514803;18,000000;YES;2,506185;-1,514685
NR91;3,700000;NO;2,509993;-1,506864;3,700000;YES;2,510804;-1,506275;7,400000;NO;2,511016;-1,506444;7,400000;YES;2,510778;-1,506678;12,000000;NO;2,511352;-1,506720;12,000000;YES;2,511693;-1,506569;18,000000;NO;2,512202;-1,506876;18,000000;YES;2,512358;-1,506468
